dataset,model,ep,variant,collection_interval,max_layers_per_cycle,mean_par,transmit_amount,runtime_seconds,par_ratio_vs_ds_eplb_1024,transmit_ratio_vs_ds_eplb_1024,par_improvement_vs_default,extra_transmit_per_par_point,matches_existing_ds_eplb_1024,modeled_runtime_seconds,baseline_modeled_runtime_seconds,expected_case_score_vs_ds_eplb_1024
ShareGPT,DS-R1,128,DS-EPLB@512:layers=all,512,all,1.635922274489301,220339,19.733680963516235,1.0449997355353613,2.001771567701141,0.4753254305492924,148671.4827752086,,119.7192739473314,113.34472734925025,94.67542160263557
ShareGPT,DS-R1,128,DS-EPLB@1024:layers=all,1024,all,1.7095383441977263,110072,11.365327835083008,1.0,1.0,0.45171521368188094,78151.89065361621,False,113.34472734925025,113.34472734925025,100.0
ShareGPT,DS-R1,128,DS-EPLB@2048:layers=all,2048,all,1.9418083515782285,43549,6.289157152175903,0.8803846902853611,0.395641034958936,0.377221352928795,37026.2106515619,,120.77051514226704,113.34472734925025,93.85132390611297
ShareGPT,DS-R1,128,DS-EPLB@4096:layers=all,4096,all,2.5382123390324,22192,4.65930700302124,0.6735206183929532,0.20161348935242387,0.18594209093947536,38277.721867884255,,154.46460687719735,113.34472734925025,73.3790928813626
ShareGPT,DS-R1,256,Default,0,all,5.028073067487092,0,2.534778118133545,0.4334446251452639,0.0,0.0,0.0,,301.6843840492255,145.14386971660971,48.111164313008246
ShareGPT,DS-R1,256,DS-EPLB@256:layers=all,256,all,1.7080716240163554,498293,59.87058711051941,1.2759366851463316,3.3911785923314595,0.6602929987113318,150088.18775665452,,151.250784979328,145.14386971660971,95.96239102920826
ShareGPT,DS-R1,256,DS-EPLB@512:layers=all,512,all,2.011829068011804,293943,36.362231969833374,1.0832884764378765,2.000455974628755,0.599880701610952,97453.32275874726,,149.47709109638822,145.14386971660971,97.10107993941072
ShareGPT,DS-R1,256,DS-EPLB@1024:layers=all,1024,all,2.17939124593994,146938,19.8623468875885,1.0,1.0,0.5665553748547362,51581.05018558943,False,145.14386971660971,145.14386971660971,100.0
ShareGPT,DS-R1,256,DS-EPLB@2048:layers=all,2048,all,2.680967271557459,58173,10.06179690361023,0.812912290672561,0.3959016728143843,0.46680025616705273,24784.99269222717,,166.55125871392755,145.14386971660971,87.14666634006791
ShareGPT,DS-R1,256,DS-EPLB@4096:layers=all,4096,all,3.8806158316701618,29578,6.710824012756348,0.5616096363246451,0.20129578461664102,0.22821013545660376,25776.995496430838,,235.73166278682302,145.14386971660971,61.57164803434416
WildChat,DS-R1,32,Default,0,all,1.5918934689335966,0,2.6255381107330322,0.779330304586329,0.0,0.0,0.0,,95.51360813601579,82.50128927982047,86.37647649362677
WildChat,DS-R1,32,DS-EPLB@256:layers=all,256,all,1.1660626301477193,312439,12.006141901016235,1.0639315504484046,3.7915513810009225,0.26749958279000907,733716.2355146037,,100.54125458283649,82.50128927982047,82.05715118846781
WildChat,DS-R1,32,DS-EPLB@512:layers=all,512,all,1.2283961521637812,164995,7.611280918121338,1.0099435917539392,2.0022693073151787,0.2283427401792916,453909.81552824785,,89.85135019436021,82.50128927982047,91.81975462957362
WildChat,DS-R1,32,DS-EPLB@1024:layers=all,1024,all,1.2406108220130077,82404,5.122144937515259,1.0,1.0,0.22066969541367104,234580.33216946313,False,82.50128927982047,82.50128927982047,100.0
WildChat,DS-R1,32,DS-EPLB@2048:layers=all,2048,all,1.295289821268765,32554,3.660153865814209,0.9577862819903904,0.39505363817290423,0.1863212918786113,109755.89901303808,,80.90335463249923,82.50128927982047,101.97511543814197
WildChat,DS-R1,32,DS-EPLB@4096:layers=all,4096,all,1.4421437068830445,16638,3.1864161491394043,0.8602546445904362,0.2019076743847386,0.09407021573552213,111105.35183610769,,88.15693511186267,82.50128927982047,93.58457071486693
WildChat,DS-R1,64,Default,0,all,2.059677222134155,0,2.6375792026519775,0.6813226697659021,0.0,0.0,0.0,,123.58063332804929,93.1793544514409,75.39964146654995
WildChat,DS-R1,64,DS-EPLB@256:layers=all,256,all,1.2745949710044921,333296,19.605854272842407,1.1009809514112021,3.6319414174875773,0.3811676133973031,424536.4094276964,,109.09440899989619,93.1793544514409,85.41166802739595
WildChat,DS-R1,64,DS-EPLB@512:layers=all,512,all,1.375808996356579,183785,11.633347272872925,1.019985177852954,2.0027133641356465,0.3320268916063358,268743.29450097156,,100.53504352966141,93.1793544514409,92.68345760844046
WildChat,DS-R1,64,DS-EPLB@1024:layers=all,1024,all,1.4033047838404593,91768,7.183828115463257,1.0,1.0,0.31867733023409794,139810.8674985804,False,93.1793544514409,93.1793544514409,100.0
WildChat,DS-R1,64,DS-EPLB@2048:layers=all,2048,all,1.5077281452646032,36346,4.58427095413208,0.9307412534865045,0.3960639874466045,0.26797843416340944,65850.27772152622,,94.02076609016952,93.1793544514409,99.10507893764483
WildChat,DS-R1,64,DS-EPLB@4096:layers=all,4096,all,1.7811889340568925,18505,3.6632449626922607,0.7878472390035839,0.20164981257083078,0.1352096751299235,66448.03674783648,,108.68236660554689,93.1793544514409,85.73548530611887
WildChat,DS-R1,128,Default,0,all,2.9456743024412866,0,2.768122911453247,0.5653088247672592,0.0,0.0,0.0,,176.74045814647718,110.69016286857199,62.628649959046335
WildChat,DS-R1,128,DS-EPLB@256:layers=all,256,all,1.430446890888845,395829,33.3773410320282,1.1641226868796752,3.5944915138801865,0.51439068137868,261234.05436181318,,124.56544714037071,110.69016286857199,88.86104887805453
WildChat,DS-R1,128,DS-EPLB@512:layers=all,512,all,1.6037122390294796,220390,20.05887508392334,1.0383506701102065,2.0013439761716656,0.4555704146584125,164229.679816492,,117.7916630415021,110.69016286857199,93.97113514695178
WildChat,DS-R1,128,DS-EPLB@1024:layers=all,1024,all,1.6652156780601999,110121,11.437046766281128,1.0,1.0,0.43469117523274076,86001.21698834845,False,110.69016286857199,110.69016286857199,100.0
WildChat,DS-R1,128,DS-EPLB@2048:layers=all,2048,all,1.8754664997885921,43517,6.364030122756958,0.8878941203417431,0.39517439907011376,0.3633150487023424,40662.19653055754,,116.78687228790218,110.69016286857199,94.77962779557909
WildChat,DS-R1,128,DS-EPLB@4096:layers=all,4096,all,2.408051647106129,22174,4.653855562210083,0.6915199182132864,0.20136032182780758,0.1825125930893283,41244.54165008463,,146.65320375394109,110.69016286857199,75.47749386661276
WildChat,DS-R1,256,Default,0,all,4.6960766849061155,0,2.5264720916748047,0.4478592070898346,0.0,0.0,0.0,,281.7646010943669,140.5670575073067,49.8881182949695
WildChat,DS-R1,256,DS-EPLB@256:layers=all,256,all,1.6702417338022288,498416,59.79295992851257,1.2592076571738609,3.393008611593315,0.6443325256653852,164720.15428936982,,148.9930292189604,140.5670575073067,94.34472085316766
WildChat,DS-R1,256,DS-EPLB@512:layers=all,512,all,1.957208474236326,294022,36.514167070388794,1.0745820939467077,2.001579359406379,0.583224762805283,107351.64213253511,,146.2075869702329,140.5670575073067,96.14210891526814
WildChat,DS-R1,256,DS-EPLB@1024:layers=all,1024,all,2.103181180535112,146895,20.11070418357849,1.0,1.0,0.5521407929101654,56652.880824688094,False,140.5670575073067,140.5670575073067,100.0
WildChat,DS-R1,256,DS-EPLB@2048:layers=all,2048,all,2.551586947152973,58057,10.076283931732178,0.8242639675210025,0.395227883862623,0.4566556045913495,27072.64062770865,,158.7770866668317,140.5670575073067,88.53107237208866
WildChat,DS-R1,256,DS-EPLB@4096:layers=all,4096,all,3.6292306024314733,29595,6.685625076293945,0.5795115854930918,0.20147043806800777,0.2271781646802411,27740.646458907948,,220.65021277308838,140.5670575073067,63.70583365440152
LmSys,DS-R1,32,Default,0,all,1.6302342939586727,0,2.5530428886413574,0.7737706220449972,0.0,0.0,0.0,,97.81405763752036,83.75194792255601,85.62363114811599
LmSys,DS-R1,32,DS-EPLB@256:layers=all,256,all,1.1739562533130021,312436,11.92403793334961,1.0745097188720927,3.790732944273911,0.2798849480326522,684749.1489134073,,101.01457837147346,83.75194792255601,82.91075335142672
LmSys,DS-R1,32,DS-EPLB@512:layers=all,512,all,1.2403100570155305,164900,7.537122011184692,1.0170258610583,2.000703704153068,0.23918294345059762,422902.66768937814,,90.5568871115985,83.75194792255601,92.48545372296601
LmSys,DS-R1,32,DS-EPLB@1024:layers=all,1024,all,1.2614274037154891,82421,5.125139951705933,1.0,1.0,0.22622937795500273,223480.09806881132,False,83.75194792255601,83.75194792255601,100.0
LmSys,DS-R1,32,DS-EPLB@2048:layers=all,2048,all,1.3124254980628764,32535,3.641575813293457,0.9611421033630786,0.3947416313803521,0.19494670003786146,102372.87457162651,,81.9296357653726,83.75194792255601,102.22424052073427
LmSys,DS-R1,32,DS-EPLB@4096:layers=all,4096,all,1.4735966239775495,16630,3.170403003692627,0.8560194718081189,0.2017689666468497,0.09608291922307825,106168.58640711475,,90.04332720078631,83.75194792255601,93.01294224257036
LmSys,DS-R1,64,Default,0,all,2.120291748439436,0,2.6387598514556885,0.6749937984862128,0.0,0.0,0.0,,127.21750490636617,94.87313571676651,74.5755356439308
LmSys,DS-R1,64,DS-EPLB@256:layers=all,256,all,1.2865341713779015,333275,19.642436981201172,1.1124335544428523,3.6232238565821944,0.393227761073537,399726.5022461115,,109.80870581334077,94.87313571676651,86.39855557357848
LmSys,DS-R1,64,DS-EPLB@512:layers=all,512,all,1.3951561024709251,183715,11.685965061187744,1.0258234033047453,1.9972712349021016,0.3419980512126318,253352.59826404648,,101.68901919998885,94.87313571676651,93.29732596808931
LmSys,DS-R1,64,DS-EPLB@1024:layers=all,1024,all,1.4311837811781085,91983,7.204590082168579,1.0,1.0,0.32500620151378723,133481.26036847525,False,94.87313571676651,94.87313571676651,100.00000000000001
LmSys,DS-R1,64,DS-EPLB@2048:layers=all,2048,all,1.534266572588882,36231,4.5551230907440186,0.9328129848799128,0.3938880010436711,0.2763889338728393,61824.98891351297,,95.60181701389291,94.87313571676651,99.23779555673038
LmSys,DS-R1,64,DS-EPLB@4096:layers=all,4096,all,1.832942329201814,18490,3.647149085998535,0.7808122265370683,0.20101540502049292,0.1355235285187122,64346.74567659312,,111.78610230784219,94.87313571676651,84.87024214825928
LmSys,DS-R1,128,Default,0,all,3.0539074165725886,0,2.7701449394226074,0.5620433505312168,0.0,0.0,0.0,,183.23444499435533,113.77094868396875,62.09037208450275
LmSys,DS-R1,128,DS-EPLB@256:layers=all,256,all,1.4511420657767178,395940,33.36465883255005,1.1828120740913668,3.592824151792601,0.524824473099011,247035.53754976773,,125.81802088100306,113.77094868396875,90.42500262468103
