model,ep,strategy,ds_par,ds_transmit,ds_time,sub_par,sub_transmit,sub_time,rebalance_wall,score
Qwen3,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=3_threshold=0.0,1.531796,69973,98.755809,2.661008,749,159.733758,0.650252,61.825259
Qwen3,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=3_threshold=0.0,1.852714,92894,120.254113,3.992535,938,239.643909,0.414419,50.180333
DS-R1,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=4_threshold=0.0,1.257790,82489,83.540334,1.507662,1378,90.594574,1.486360,92.213397
DS-R1,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=4_threshold=0.0,1.425022,91892,94.494542,1.888419,1552,113.457042,0.688776,83.286626
DS-R1,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=4_threshold=0.0,1.691569,110046,112.264005,2.607573,1815,156.632036,0.517006,71.673719
DS-R1,256,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=4_threshold=0.0,2.119932,146768,141.559682,4.012971,2352,241.008426,0.727868,58.736404
Qwen3,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=4_threshold=0.0,1.288529,57792,82.967671,1.878285,847,112.779971,0.922317,73.565962
Qwen3,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=4_threshold=0.0,1.531796,69973,98.755809,2.618898,1002,157.231914,0.442437,62.809010
Qwen3,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=4_threshold=0.0,1.852714,92894,120.254113,3.923413,1250,235.527139,0.379700,51.057434
DS-R1,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=5_threshold=0.0,1.257790,82489,83.540334,1.487854,1740,89.441513,1.415824,93.402193
DS-R1,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=5_threshold=0.0,1.425022,91892,94.494542,1.845535,1963,110.924231,0.695618,85.188368
DS-R1,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=5_threshold=0.0,1.691569,110046,112.264005,2.538267,2263,152.517471,0.513455,73.607308
DS-R1,256,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=5_threshold=0.0,2.119932,146768,141.559682,3.881181,2931,233.157691,0.511673,60.714138
Qwen3,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=5_threshold=0.0,1.288529,57792,82.967671,1.856034,1043,111.464101,0.891919,74.434433
